jname,ndup,uid,ra,dec,file,root,srcid,nGr,Grating,grade,zfit,z,comment,References,nRef,sn50,wmin,wmax,Lya,Ha,OIII,L_Ha,L_OIII,HST,NIRCam,slit,FITS,Fnu,Flam,ID_1,RA_1,DEC_1,X,Y,isoarea_SE,class_starSE,flags_SE,r50_SE,f_autoSE,e_autoSE,a_f001w,ell_f001w,theta_f001w,rKron_f001w,f_f435w,f_f606w,f_f775w,f_f814w,f_f105w,f_f125w,f_f140w,f_f160w,f_f090w,f_f115w,f_f150w,f_f200w,f_f277w,f_f356w,f_f410m,f_f444w,e_f435w,e_f606w,e_f775w,e_f814w,e_f105w,e_f125w,e_f140w,e_f160w,e_f090w,e_f115w,e_f150w,e_f200w,e_f277w,e_f356w,e_f410m,e_f444w,apopt,flag_1,ID_2,RA_2,DEC_2,zspec,zphot,EAzY_eazy_v13,EAzY_Larson,EAzY_LarsonLyaRed,flag_2,Separation_2,GroupID,GroupSize,Separation,beta_UV,beta_opt,beta_277356,beta_277410,F115_mag,F150_mag,F200_mag,F277_mag,F356_mag,F410_mag,F444_mag,method,compact
j123702.13p621414.81,1,418,189.25889,62.237446,jades-gdn10-v3_prism-clear_1181_66585.spec.fits,jades-gdn10-v3,66585,0,,3,7.1399,7.143,,-,0,0.43,0.6,5.29,1.6,,,,42.25,,,,FITS   zfit   spl,,,32666,189.258899,62.237448,14841.723,13422.522,88.0,0.62,0.0,3.872,0.02661,0.00192,2.790227,0.027054,69.963524,22.321819,-0.00691,-0.00421,-6.3E-4,5.8E-4,0.01414,0.01451,0.02469,0.01498,0.00715,0.0251,0.02234,0.02353,0.01892,0.0205,0.06178,0.03343,0.00285,0.00346,0.00367,0.00229,0.00373,0.00414,0.01593,0.00528,0.00282,0.0021,0.00222,0.00211,0.00155,0.00132,0.00372,0.00185,0.28,0,32666,189.258899,62.237448,7.143,7.143,7.143,7.143,7.143,0,0.0,,,0.016721670548063214,-2.0258717347542987,0.1889721957273044,-2.0125952442742614,-0.0814279616868521,27.900815696297403,28.027292078051023,27.970945182059946,28.207697169835562,28.120615347360612,26.922880240086418,27.589659058518578,KOV24,true
j100034.67p022039.81,1,1123,150.144443,2.344393,cosmos-transients-v3_prism-clear_6585_58018.spec.fits,cosmos-transients-v3,58018,0,,3,3.9285,3.9278,broad Ha,DKo24  z=N/A,1,32.63,0.6,5.29,,75.1,58.1,42.91,42.63,,,,FITS   zfit   spl,,,71601,150.144441,2.344395,10819.773,23661.236,565.0,0.99,0.0,3.19,0.78013,0.00217,4.526967,0.083977,-44.411231,36.215736,-3.1E-4,0.04725,0.0,0.11769,0.0,0.09138,0.08584,0.11893,0.12164,0.09409,0.11714,0.17984,0.47495,0.81603,0.74963,0.83075,0.00591,0.00614,-99.0,0.00799,-99.0,0.01288,0.02992,0.01165,0.0067,0.00651,0.00526,0.00429,0.00316,0.00319,0.00238,0.00186,0.5,10002,71601,150.144441,2.344395,-99.0,4.625,4.75,4.52,4.522,10002,0.0,,,0.010178077253899874,-2.167186321541182,0.10816643632978158,-0.12234189358169484,-0.2459353065629755,26.466141328668776,26.228236950770146,25.76278426527758,24.708380269974967,24.120734687076858,24.212882603547264,24.101324125123128,Both,true
j100029.41p022044.41,1,1135,150.122545,2.34567,cosmos-transients-v3_prism-clear_6585_58291.spec.fits,cosmos-transients-v3,58291,0,,3,7.0789,7.079,,-,0,0.4,0.6,5.29,1.2,,,,42.2,,,,FITS   zfit   spl,,,72575,150.122535,2.345674,13446.257,23814.688,77.0,0.91,0.0,4.066,0.03198,0.00169,3.445175,0.3052,29.221564,27.561403,-4.0E-4,-7.8E-4,0.0,-9.4E-4,0.0,0.0037,0.01278,0.01049,-0.00197,0.01068,0.01006,0.00664,0.00855,0.01132,0.03937,0.02014,0.00243,0.00291,-99.0,0.00351,-99.0,0.00641,0.01272,0.00611,0.00304,0.00278,0.00244,0.00198,0.00126,0.0012,0.00102,7.8E-4,0.28,2,72575,150.122535,2.345674,7.079,7.079,7.079,7.079,7.079,2,0.0,,,0.03874518091871307,-2.478101844994171,0.23469257908943586,-1.174673138071996,0.42189639079869146,28.828571868268654,28.893505048200225,29.344579801579954,29.07008471317957,28.765383932869366,27.412086463024423,28.139851334456,KOV24,true
j100037.13p022100.83,1,1161,150.154694,2.35023,cosmos-transients-v3_prism-clear_6585_59286.spec.fits,cosmos-transients-v3,59286,0,,3,6.6345,6.634,,DKo24  z=N/A,1,1.61,0.6,5.29,2.4,15.6,,42.26,41.78,,,,FITS   zfit   spl,,,75119,150.154692,2.350227,9590.717,24361.145,75.0,0.97,0.0,2.778,0.03524,0.00125,2.635193,0.212745,64.915405,21.081547,-0.00533,5.4E-4,0.0,-6.7E-4,0.0,0.01267,-0.01421,0.01643,0.00489,0.0027,0.01137,0.01348,0.0149,0.03439,0.02963,0.05096,0.00484,0.00573,-99.0,0.0052,-99.0,0.01164,0.02617,0.01006,0.00458,0.00422,0.00374,0.00313,0.00189,0.00181,0.00139,0.00115,0.28,2,75119,150.154692,2.350227,6.634,6.634,6.634,6.634,6.634,2,0.0,,,0.012976626084216892,-1.8228940852819948,0.08616788317146773,0.5513612309978222,-0.2469863925282677,30.32159058960253,28.76059883828066,28.575775269501747,28.467034328969312,27.558919560444966,27.72067087129987,27.131926451681764,Both,true
j100031.73p022249.59,1,1273,150.132193,2.380441,cosmos-transients-v3_prism-clear_6585_65449.spec.fits,cosmos-transients-v3,65449,0,,3,5.1993,5.199,,-,0,1.93,0.6,5.29,0.8,24.5,,41.68,41.57,,,,FITS   zfit   spl,,,89476,150.132187,2.380446,12289.038,27987.361,71.0,0.96,0.0,3.158,0.02937,0.00138,2.690082,0.232247,-22.038848,21.520657,-6.0E-4,-0.00333,0.0,0.01098,-0.00577,-0.01225,-0.03238,0.01547,0.0044,0.00344,0.00419,0.0035,0.00739,0.01457,0.03577,0.04005,0.00214,0.00474,-99.0,0.0045,0.02958,0.01038,0.0245,0.01016,0.00372,0.00329,0.00318,0.00253,0.00167,0.0014,0.00135,0.00109,0.28,1,89476,150.132187,2.380446,5.199,5.199,5.199,5.199,5.199,1,0.0,,,0.02810258218386892,-1.7354215482447655,1.8221761349622179,3.011551545882067,1.3851831251684057,30.058603893571174,29.84446494258426,30.03982988912431,29.228388904012935,28.491351120575025,27.516202649627573,27.393493698949356,KOV24,true
j001413.61m302429.49,1,1728,3.556705,-30.408192,uncover-61-v3_prism-clear_2561_20698.spec.fits,uncover-61-v3,20698,0,,3,2.412,2.4126,interactive fit -1 63 1.3 11,-,0,42.12,0.6,5.29,,46.1,34.8,42.19,41.93,,,,FITS   zfit   spl,,,8864,3.556702,-30.408194,12328.478,6849.616,1281.0,0.82,3.0,4.2,1.52662,0.00326,5.817128,0.008112,-68.282546,46.537025,0.027,0.03594,0.0,0.04152,0.05434,0.06779,0.0,0.14987,0.0,0.04723,0.09371,0.2575,0.73193,1.2147,1.38903,1.5442,0.00342,0.00295,-99.0,0.00226,0.01684,0.01671,-99.0,0.02221,-99.0,0.00326,0.0032,0.00363,0.00315,0.00387,0.00661,0.00338,0.33,312,8864,3.556702,-30.408194,-99.0,4.075,2.783,2.99,2.995,312,0.0,,,0.011772740328387847,-1.45041472147674,0.919074451085198,0.018895302987143203,-0.36620435071118557,27.21445513605825,26.470535155302212,25.373056916556973,24.238826129551448,23.688827421279807,23.543220935883177,23.428241129703927,Both,true
j001410.99m302344.61,1,1764,3.54579,-30.395724,uncover-61-v3_prism-clear_2561_27114.spec.fits,uncover-61-v3,27114,0,,3,5.2064,5.206,,-,0,5.03,0.6,5.29,0.4,33.3,,42.08,41.62,,,,FITS   zfit   spl,,,12351,3.545785,-30.395727,13419.576,8294.166,363.0,0.97,0.0,2.996,0.14955,0.00155,3.321992,0.109551,26.866248,26.575933,-0.00481,0.00544,0.0,-0.00196,0.0,0.0,0.0,0.0,0.00398,0.00726,0.00961,0.0095,0.04747,0.09981,0.22899,0.23003,0.00501,0.00329,-99.0,0.00407,-99.0,-99.0,-99.0,-99.0,0.00301,0.00214,0.00248,0.00157,0.00112,0.00125,0.0031,0.0016,0.33,10005,12351,3.545785,-30.395727,5.206,5.206,5.206,5.206,5.206,10005,0.0,,,0.018912809530923096,-0.9336293559632606,1.4550471142605126,1.7468650896265172,1.604499547088956,29.247658448249766,28.943191530828635,28.95569098677788,27.2089519207041,26.402064861028787,25.50045870724685,25.495538801425315,Both,true
j123615.50p621625.74,5,6138,189.064589,62.273815,jades-gdn2-v3_prism-clear_1181_28074.spec.fits,jades-gdn2-v3,28074,3,G140M   G235M   G395M,3,2.2723,2.261,Redshifts match v2 grade=3,-,0,92.17,0.6,5.29,,66.6,44.0,43.4,42.95,,,,FITS   zfit   spl,,,45682,189.064575,62.273811,25692.064,17797.078,2461.0,1.0,2.0,3.181,6.13258,0.00539,5.972055,0.106948,79.5459,47.776443,0.23047,0.33032,0.34134,0.38352,0.38866,0.62696,0.0,1.91439,0.39425,0.56953,0.91645,3.99362,4.84908,6.02642,7.34833,6.85889,0.00332,0.0033,0.00358,0.00283,0.00533,0.00687,-99.0,0.00967,0.00449,0.00398,0.00567,0.00813,0.0078,0.00812,0.01274,0.00777,0.33,10201,45682,189.064575,62.273811,2.261,2.261,2.261,2.261,2.261,10201,0.0,1947,4,0.02751706677288974,-1.3104628932299058,0.4741742652308948,-1.1337079171054025,-0.9399590769051628,24.51120848628747,23.994728061114596,22.396583153467002,22.1858516271148,21.949851510678347,21.734528371402465,21.809365405295857,KOV24,true
j001419.16m302405.65,2,6329,3.579832,-30.401569,uncover-62-v3_prism-clear_2561_24175.spec.fits,uncover-62-v3,24175,0,,3,7.0294,7.038,,DKo24  z=7.040 ;  LFu22  z=N/A,2,11.65,0.6,5.29,8.8,24.1,,42.51,40.6,,,,FITS   zfit   spl,,,10798,3.579832,-30.401569,10016.819,7617.098,432.0,0.98,0.0,2.927,0.19282,0.00129,3.423737,0.056598,5.361915,27.389896,0.00359,0.00107,0.0,-0.001,0.01104,0.0201,0.02075,0.0258,0.01047,0.01564,0.01945,0.02495,0.02572,0.13934,0.25163,0.30385,0.00286,0.00219,-99.0,0.00165,0.00171,0.00246,0.00234,0.00222,0.00451,0.00269,0.00273,0.00214,0.00117,0.0013,0.00295,0.00167,0.5,10001,10798,3.579832,-30.401569,7.038,7.038,7.038,7.038,7.038,10001,0.0,4747,2,0.0,-1.5289196740286746,1.7099051719577938,4.499225263950223,3.6128662217040066,28.414408128190423,28.177700985845682,27.907323625101476,27.874322589369537,26.039810484503622,25.39809395598266,25.19335189829166,Both,true
j033230.37m274905.13,5,7316,53.126535,-27.818092,gds-deep-v3_prism-clear_1210_13704.spec.fits,gds-deep-v3,13704,4,G140M   G235M   G395H   G395M,3,5.9296,5.92,Redshifts match v2 grade=3,DKo24  z=5.920 ;  CSi23  z=N/A ;  ABu23  z=5.920,3,9.56,0.6,5.29,-3.3,67.2,,42.31,42.37,,,,FITS   zfit   spl,,,40132,53.126539,-27.81809,11525.554,15239.626,398.0,0.98,3.0,3.452,0.09967,0.00134,3.660625,0.116084,-39.953291,29.285004,0.00169,0.00113,0.00186,0.01144,0.02428,0.03164,0.03471,0.02638,0.01983,0.02647,0.02569,0.02413,0.03101,0.08461,0.06453,0.12819,0.00549,0.00355,0.0053,0.00242,0.0034,0.00474,0.01476,0.00559,0.00213,0.00149,0.00166,0.00141,0.001,9.9E-4,0.0018,0.00133,0.33,300,40132,53.126539,-27.81809,5.92,5.92,5.92,5.92,5.92,300,0.0,449,5,0.01463016556349615,-2.1109698093053564,0.06922370950266998,-0.6256848117323437,-0.13122571952594347,27.843115146746626,27.87558973933413,27.943606695228034,27.671245584406684,26.581445762373953,26.875595837232186,26.13036463115785,Both,true
j123647.38p621038.04,5,7845,189.197396,62.177233,jades-gdn09-v3_prism-clear_1181_73488.spec.fits,jades-gdn09-v3,73488,4,G140M   G235M   G395H   G395M,3,4.13,4.133,LRD with bright LyA,-,0,13.05,0.6,5.29,22.9,77.5,,42.72,42.4,,,,FITS   zfit   spl,,,10395,189.197412,62.177232,18281.945,6197.131,396.0,0.98,2.0,3.225,0.32489,0.00172,3.956498,0.116928,64.597323,31.651983,0.00206,0.03495,0.04083,0.0436,0.05308,0.04301,0.05765,0.04615,0.04568,0.04572,0.04958,0.06277,0.17331,0.359,0.26622,0.31434,0.00256,0.00339,0.0067,0.00392,0.005,0.00452,0.01889,0.00603,0.00214,0.00156,0.00167,0.00156,0.00144,0.0016,0.00252,0.0018,0.33,10200,10395,189.197412,62.177232,4.133,4.133,4.133,4.133,4.133,10200,0.0,1486,5,0.027124078606327352,-1.777895414823068,0.051198333821150466,0.428746751526419,0.1916522054317925,27.24973444569189,27.161733693920493,26.90561967837322,25.80294094434731,25.0122638785542,25.3368983022495,25.156500877921022,Both,true
j142032.90p525918.80,2,8217,215.137081,52.988554,rubies-egs51-nod-v3_prism-clear_4233_926125.spec.fits,rubies-egs51-nod-v3,926125,1,G395M,3,5.284,5.284,Redshift matches rubies-egs51-v3_g395m-f290lp_4233_926125 z=5.2842,DKo24  z=5.290,1,3.4,0.6,5.29,-1.0,48.2,,42.67,42.47,,,,FITS   zfit   spl,,,25931,215.137063,52.988558,1398.888,4994.243,313.0,0.99,2.0,3.079,0.12014,0.00269,3.691726,0.178357,33.923663,29.533812,0.0,-0.00363,0.0,0.0067,0.0,0.01824,0.0,0.03312,0.0,0.01598,0.02107,0.02051,0.06605,0.10116,0.36173,0.28559,-99.0,0.00449,-99.0,0.00473,-99.0,0.01193,-99.0,0.01074,-99.0,0.00258,0.00386,0.00315,0.00269,0.0021,0.00498,0.0044,0.33,314,25931,215.137063,52.988558,5.284,5.284,5.284,5.284,5.284,314,0.0,2925,4,0.04158100656445178,-1.437921347393783,1.0437008161134742,0.21681250554390913,1.0815336985975352,28.391058062555068,28.09083866097975,28.120085849079082,26.850317945123635,26.38747794831908,25.004038679062425,25.260642508878774,Both,true
j142031.55p525905.68,2,8218,215.131478,52.98491,rubies-egs51-nod-v3_prism-clear_4233_926156.spec.fits,rubies-egs51-nod-v3,926156,1,G395M,0,7.8287,7.9436,,DKo24  z=N/A,1,1.06,0.6,5.29,0.9,,,,42.3,,,,FITS   zfit   spl,,,26252,215.131461,52.984913,1994.416,5017.413,115.0,0.96,0.0,2.704,0.04574,0.00222,2.292698,0.166847,76.285222,18.341587,0.0,0.0018,0.0,-0.00918,0.0,-2.0E-4,0.0,0.01391,0.0,0.00439,0.00557,0.00653,0.00803,0.04357,0.09616,0.10454,-99.0,0.0032,-99.0,0.00352,-99.0,0.01102,-99.0,0.00965,-99.0,0.00209,0.00309,0.00244,0.00218,0.00169,0.00379,0.00375,0.28,14,26252,215.131461,52.984913,-99.0,7.55,7.482,7.464,7.465,14,0.0,2926,4,0.038394226273024974,-2.165927978954494,1.087665706688133,4.740116286938244,4.3314916525229386,29.793838699394694,29.535362012065676,29.362717046812314,29.138211136803296,27.30203110016061,26.442513863353337,26.35179376059567,KOV24,true
j142018.78p525654.59,2,8219,215.078259,52.948497,rubies-egs51-nod-v3_prism-clear_4233_927271.spec.fits,rubies-egs51-nod-v3,927271,1,G395M,3,6.7858,6.785,Redshift matches rubies-egs51-v3_g395m-f290lp_4233_927271 z=6.7840,DKo24  z=6.790,1,1.97,0.6,5.29,-2.8,18.0,,42.42,42.55,,,,FITS   zfit   spl,,,26781,215.078252,52.948508,7813.925,5102.086,226.0,0.98,0.0,2.928,0.08491,0.00216,2.917578,0.031437,57.830051,23.340628,0.0,-0.00194,0.0,-0.00542,0.0198,0.01781,0.0,0.01326,0.0,0.01899,0.01604,0.02118,0.02733,0.07984,0.11865,0.10467,-99.0,0.0034,-99.0,0.00396,0.00715,0.00803,-99.0,0.00778,-99.0,0.00189,0.00264,0.00224,0.00177,0.00146,0.00333,0.00264,0.28,13,26781,215.078252,52.948508,6.785,6.785,6.785,6.785,6.785,13,0.0,2927,4,0.04241118285678234,-1.6434597456993238,0.2037635015098893,0.14643580101750892,0.12676480700124712,28.203687588157454,28.38698909012964,28.08518511057133,27.808400920768346,26.64444867930171,26.214330643616606,26.350444439580563,Both,true
j033242.60m274901.50,5,8810,53.177513,-27.817083,jades-gds1-v3_prism-clear_1286_36566.spec.fits,jades-gds1-v3,36566,4,G140M   G235M   G395H   G395M,1,7.9097,7.9097,,KHa23  z=-9999.000,1,0.26,0.6,5.29,0.7,,,,41.52,,,,FITS   zfit   spl,,,40703,53.177515,-27.817086,6114.384,15358.891,74.0,0.94,0.0,3.62,0.00711,8.5E-4,2.325781,0.12647,2.263711,18.606251,-5.9E-4,-7.5E-4,-7.5E-4,-0.0013,0.00509,-0.00631,0.03055,0.01378,-0.00242,0.00627,0.00991,0.00849,0.00636,0.00762,0.00962,0.01594,0.00123,4.7E-4,6.3E-4,0.00396,0.00334,0.00638,0.01871,0.00761,0.00176,0.00127,0.00134,0.00137,8.1E-4,8.8E-4,0.00143,0.00105,0.28,0,40703,53.177515,-27.817086,-99.0,7.75,7.788,8.313,8.442,0,0.0,,,0.01253759098756532,-3.6804385853901964,0.6341872279539817,-1.2796394347564939,-1.001248400220078,29.406831147923207,28.90981586378681,29.077730774390115,29.391357210878965,29.195112571650995,28.942062319905467,28.393779207349766,KOV24,true
j100025.66p022136.17,2,8924,150.1069,2.360046,cosmos-transients-v3_prism-clear_6585_61234.spec.fits,cosmos-transients-v3,61234,0,,3,6.9959,6.996,broad Ha,DKo24  z=N/A,1,11.21,0.6,5.29,2.3,43.7,,43.03,42.66,,,,FITS   zfit   spl,,,79675,150.106895,2.360049,15321.506,25539.729,268.0,0.98,0.0,3.107,0.19464,0.0018,3.500139,0.180774,-77.882271,28.001108,6.9E-4,-0.00177,0.0,-7.4E-4,0.0,0.02674,0.031,0.04705,0.00456,0.02588,0.02708,0.03305,0.04319,0.12496,0.26042,0.22467,0.00186,0.00373,-99.0,0.00414,-99.0,0.0099,0.02042,0.00971,0.00412,0.00379,0.00323,0.00263,0.00171,0.00173,0.00166,0.00125,0.28,10002,79675,150.106895,2.360049,6.996,6.996,6.996,6.996,6.996,10002,0.0,,,0.020978336217932637,-1.4746058008353793,0.5224824441187994,1.5127672434155157,1.3447938726244495,27.867589320008342,27.818378349967233,27.60207134044585,27.311541989881253,26.158072458666936,25.360814163584347,25.521137286734586,Both,true
j141950.66p525217.85,3,9024,214.961071,52.871625,rubies-egs52-nod-v3_prism-clear_4233_26776.spec.fits,rubies-egs52-nod-v3,26776,1,G395M,3,7.2896,7.29,Redshift matches rubies-egs52-v3_prism-clear_4233_26776 z=7.2904,-,0,0.46,0.6,5.29,-1.1,,,,42.44,,,,FITS   zfit   spl,,,30271,214.961073,52.871628,20336.129,5568.655,84.0,0.95,0.0,3.197,0.02276,0.00217,1.992053,0.024468,-44.941974,15.936421,0.0,-6.9E-4,0.0,-4.2E-4,0.0,0.02837,0.0,0.03245,0.0,0.01569,0.01689,0.01009,0.01269,0.01491,0.07739,0.04013,-99.0,0.00345,-99.0,0.00376,-99.0,0.01087,-99.0,0.00843,-99.0,0.00201,0.00341,0.00237,0.0017,0.0014,0.00344,0.00273,0.28,14,30271,214.961073,52.871628,-99.0,7.3,7.394,7.328,7.314,14,0.0,3013,5,0.011641615065996844,-2.7732748239985625,0.7419395999002647,-1.3574756879961383,-0.04181365326987257,28.41094264103266,28.330925876072477,28.890272084407723,28.641345944763238,28.46630589136751,26.67828788335075,27.3913271006654,KOV24,true
j142004.99p525504.05,2,9038,215.020807,52.91779,rubies-egs52-nod-v3_prism-clear_4233_28470.spec.fits,rubies-egs52-nod-v3,28470,1,G395M,3,8.6743,8.674800000000001,Redshift matches rubies-egs52-v3_prism-clear_4233_28470 z=8.6753,-,0,0.64,0.6,5.29,-1.0,,,,42.42,,,,FITS   zfit   spl,,,32310,215.020802,52.917791,13315.278,5869.961,163.0,0.98,0.0,3.824,0.04368,0.00227,3.466641,0.335218,-34.361465,27.73313,0.0,0.00549,0.0,6.1E-4,0.0,0.02111,0.0,0.01093,0.0,0.02344,0.0,0.0,0.02462,0.03476,0.04064,0.06991,-99.0,0.00377,-99.0,0.00395,-99.0,0.01106,-99.0,0.00916,-99.0,0.00477,-99.0,-99.0,0.0023,0.00185,0.00359,0.00344,0.28,34,32310,215.020802,52.917791,-99.0,7.75,8.028,7.99,8.004,34,0.0,3094,3,0.011434763067000246,-0.6212939982296131,0.007327077709303076,-0.6253885975846862,-0.7219000220291637,27.975105981634865,,,27.921779878511757,27.547300580558428,27.377615751810342,26.78865174467748,KOV24,true
