ID,RAdeg,DEdeg,zspec_1,l_MUVmag,MUVmag,E_MUVmag_1,e_MUVmag_1a,l_logMstar,logMstar,E_logMstar_1,e_logMstar_1a,l_logSFR,logSFR,E_logSFR_1,e_logSFR_1a,EWHb,e_EWHb,l_R3,R3,e_R3,l_R23,R23,e_R23,l_O32,O32,e_O32,logOH,E_logOH_1,e_logOH_1a,PFlag,MFlag,Note,ID_1,RA_1,DEC_1,X,Y,isoarea_SE,class_starSE,flags_SE,r50_SE,f_autoSE,e_autoSE,a_f001w,ell_f001w,theta_f001w,rKron_f001w,f_f435w,f_f606w,f_f775w,f_f814w,f_f105w,f_f125w,f_f140w,f_f160w,f_f090w,f_f115w,f_f150w,f_f200w,f_f277w,f_f356w,f_f410m,f_f444w,e_f435w,e_f606w,e_f775w,e_f814w,e_f105w,e_f125w,e_f140w,e_f160w,e_f090w,e_f115w,e_f150w,e_f200w,e_f277w,e_f356w,e_f410m,e_f444w,apopt,flag_1,ID_2,RA_2,DEC_2,zspec_2,zphot,EAzY_eazy_v13,EAzY_Larson,EAzY_LarsonLyaRed,flag_2,Separation_2,Separation_1,jname,ndup,uid,ra,dec,file,root,srcid,nGr,Grating,grade,zfit,z,comment,References,nRef,sn50,wmin,wmax,Lya,Ha,OIII,L_Ha,L_OIII,HST,NIRCam,slit,FITS,Fnu,Flam,Separation
GLASS_10000,3.6013389,-30.3792254,7.881,,-20.36,0.16,0.14,,8.16,0.27,0.07,,1.25,0.03,0.04,195,32,,,,,,,,,,,,,1,,mu=1.38,17698,3.601346,-30.379201,7865.562,10208.336,557.0,0.94,0.0,3.72,0.17517,0.00182,4.715644,0.238609,-69.020562,37.725151,-0.00315,2.0E-4,0.0,-0.00114,0.0393,0.08028,0.0852,0.10183,0.0,0.05869,0.09589,0.08588,0.09332,0.10918,0.08982,0.25053,0.00244,0.00214,-99.0,0.00161,0.00321,0.00407,0.00457,0.00434,-99.0,0.00315,0.00256,0.00244,0.00133,0.00143,0.00259,0.00186,0.5,11,17698,3.601346,-30.379201,7.883,7.883,7.883,7.883,7.883,11,0.0,0.09056540140748671,j001424.32m302245.16,4,22072,3.601343,-30.379199,uncover-v3_prism-clear_2561_24531.spec.fits,uncover-v3,24531,0,,3,7.8916,7.8916,Redshifts match v2 grade=3,GRBo22  z=7.900 ;  TMo22  z=7.883,2,3.46,0.6,5.29,-0.4,,,,43.24,,,,FITS   zfit   spl,,,0.01462804810508109
GLASS_100001,3.603845,-30.3822348,7.874,,-20.29,0.5,0.29,,9.15,0.55,0.0,,0.95,0.1,0.13,40,11,,4.7,1.3,,7.8,2.1,,2.8,0.4,8.31,0.24,0.2,1,R23,mu=1.41,16426,3.603884,-30.382261,7612.022,9853.741,2211.0,0.03,18.0,13.615,0.40603,0.0052,21.006403,0.664409,6.125186,168.051224,-0.00971,-0.00373,0.0,0.00676,0.03388,0.14372,0.15602,0.2045,0.0,0.08372,0.18125,0.21196,0.25873,0.36631,0.3705,0.46322,0.01087,0.00897,-99.0,0.0069,0.0072,0.01051,0.0098,0.00945,-99.0,0.01252,0.01025,0.00989,0.00574,0.00612,0.0115,0.00803,0.33,311,16426,3.603884,-30.382261,7.88,7.88,7.88,7.88,7.88,311,0.0,0.1535123990181271,j001424.92m302256.05,6,21979,3.603847,-30.382238,uncover-62-v3_prism-clear_2561_80164.spec.fits,uncover-62-v3,80164,0,,3,7.8812,7.8811,,KEHe22  z=7.878 ;  YIs23  z=7.874 ;  TMo22  z=7.876,3,3.66,0.6,5.29,-0.2,,,,42.4,,,,FITS   zfit   spl,,,0.08303264021110848
GLASS_100003,3.6045089,-30.3804439,7.877,,-20.69,0.1,0.17,,8.27,0.38,0.04,,1.22,0.04,0.05,139,19,,7.8,0.8,,10.8,1.1,,20.4,5.9,7.64,0.23,0.19,1,direct,mu=1.34,17184,3.604519,-30.380443,7548.476,10064.29,655.0,0.94,2.0,4.567,0.21879,0.00196,5.912921,0.375112,-48.429685,47.303368,0.00394,-1.0E-5,0.0,0.00211,0.0433,0.13636,0.15688,0.16385,0.0,0.09336,0.14699,0.1346,0.13467,0.15926,0.14176,0.38473,0.00286,0.00232,-99.0,0.00173,0.00273,0.00397,0.00383,0.0038,-99.0,0.00326,0.00274,0.00272,0.00152,0.00164,0.00298,0.00219,0.33,211,17184,3.604519,-30.380443,7.88,7.88,7.88,7.88,7.88,211,0.0,0.03153416503816087,j001425.08m302249.60,3,12460,3.604509,-30.380444,abell2744-glass-v3_g395h-f290lp_1324_100003.spec.fits,abell2744-glass-v3,100003,0,,3,7.8774,7.8774,interactive fit -1 95 1.3 11,KNa23  z=7.877 ;  TMo22  z=7.880 ;  GRBo22  z=8.040,3,0.52,2.88,4.57,,,,,43.18,,,,FITS   zfit   spl,,,0.0036133712583927956
GLASS_100005,3.6064583,-30.3809939,7.879,,-20.06,0.45,0.27,,8.38,0.43,0.13,,1.25,0.13,0.18,252,108,,,,,,,,,,,,,1,,mu=1.33,17063,3.606462,-30.380975,7354.266,10002.628,355.0,0.05,3.0,5.636,0.07792,0.00183,5.129918,0.32654,30.754201,41.039345,-0.00187,0.00224,0.0,-8.1E-4,0.01934,0.05469,0.05142,0.05673,0.0,0.0366,0.06019,0.05236,0.04282,0.05445,0.05263,0.06907,0.00232,0.00199,-99.0,0.00147,0.00177,0.00257,0.00235,0.0023,-99.0,0.00297,0.00245,0.00242,0.00121,0.0013,0.00242,0.00172,0.33,311,17063,3.606462,-30.380975,7.882,7.882,7.882,7.882,7.882,311,0.0,0.06900349851676892,j001425.57m302251.52,5,21980,3.606458,-30.380994,abell2744-glass-v3_g395h-f290lp_1324_100005.spec.fits,abell2744-glass-v3,100005,0,,3,7.8798,7.8798,interactive fit -1 24 1.3 11,KNa23  z=7.879 ;  TMo22  z=7.882,2,0.42,2.88,4.53,,,,,41.8,,,,FITS   zfit   spl,,,0.06840634515168134
GLASS_10021,3.6085111,-30.4185405,7.286,,-21.44,0.34,0.28,,8.51,0.3,0.22,,1.09,0.02,0.02,68,27,,8.3,0.4,,11.7,0.6,,12.1,0.9,7.87,0.12,0.1,1,direct,mu=1.72,6102,3.608514,-30.418537,7151.092,5649.927,999.0,0.03,0.0,6.672,0.37524,0.00313,6.330829,0.141963,-56.766406,50.646629,0.00363,-0.00347,0.0,1.3E-4,0.194,0.36337,0.0,0.40231,-0.00208,0.33034,0.38184,0.32774,0.30336,0.29868,0.89834,0.5584,0.00557,0.0048,-99.0,0.00291,0.02577,0.02429,-99.0,0.03123,0.00614,0.00559,0.00746,0.00416,0.00293,0.00288,0.0077,0.0036,0.66,102,6102,3.608514,-30.418537,7.288,7.288,7.288,7.288,7.288,102,0.0,0.015485890358044537,j001426.04m302506.75,3,12463,3.608511,-30.418541,abell2744-glass-v3_g395h-f290lp_1324_10021.spec.fits,abell2744-glass-v3,10021,0,,3,7.2867,7.2867,,KNa23  z=7.286,1,1.54,2.88,4.39,,,,,43.18,,,,FITS   zfit   spl,,,0.014403346035337331
GLASS_150008,3.6025299,-30.4192324,6.229,,-19.71,1.01,0.15,,8.23,0.49,0.15,,0.63,0.02,0.02,86,26,,6.4,0.4,,,,,,,8.17,0.23,0.23,1,R3,mu=2.06,5978,3.602526,-30.419219,7749.498,5571.195,568.0,0.85,3.0,4.578,0.1637,0.00224,4.640475,0.116811,-61.40806,37.123798,-0.00113,0.00252,0.0,0.01624,0.11347,0.11238,0.0,0.0951,0.05513,0.11699,0.12141,0.10948,0.10861,0.17924,0.10302,0.16221,0.0033,0.00289,-99.0,0.00179,0.01875,0.01856,-99.0,0.02309,0.00412,0.00354,0.00452,0.0026,0.00168,0.00187,0.00386,0.00211,0.33,302,5978,3.602526,-30.419219,6.231,6.231,6.231,6.231,6.231,302,0.0,0.049736148703445185,j001424.61m302509.24,3,12484,3.60253,-30.419232,abell2744-glass-v3_g140h-f100lp_1324_150008.spec.fits,abell2744-glass-v3,150008,0,,3,6.2282,6.2282,Redshift matches abell2744-glass-v3_g395h-f290lp_1324_150008 z=6.2291,KNa23  z=6.229,1,2.19,0.98,1.59,,,,,,,,,FITS   zfit   spl,,,0.04680102964155623
GLASS_50038,3.5651997,-30.3942643,5.772,,-20.12,1.36,0.19,,9.09,0.39,0.09,,0.91,0.04,0.05,36,7,,7.1,0.7,,11.2,1.2,,3.9,0.9,8.1,0.16,0.15,1,R23,mu=1.76,12636,3.565199,-30.394265,11479.147,8463.625,1035.0,0.05,3.0,5.602,0.31654,0.0029,5.786436,0.058763,-73.982546,46.291489,0.0057,5.2E-4,0.0,0.06023,0.15141,0.1947,0.0,0.18908,0.12338,0.16956,0.17967,0.19172,0.26085,0.32482,0.28708,0.3237,0.00306,0.00261,-99.0,0.00201,0.00988,0.01674,-99.0,0.0133,0.00537,0.00389,0.00476,0.00315,0.00222,0.00243,0.00492,0.00266,0.33,302,12636,3.565199,-30.394265,5.774,5.774,5.774,5.774,5.774,302,0.0,0.003327943332098248,j001415.65m302339.35,3,12589,3.5652,-30.394264,abell2744-glass-v3_g235h-f170lp_1324_50038.spec.fits,abell2744-glass-v3,50038,0,,3,5.7741,5.7717,interactive fit -1 23 1.3 11,KNa23  z=5.772,1,1.2,1.7,3.1,,,,,,,,,FITS   zfit   spl,,,0.003718577901225956
GLASS_110000,3.5706428,-30.4146381,5.763,,-19.91,0.64,0.34,,9.22,0.16,0.27,,0.53,0.04,0.05,31,10,,6.6,0.7,,9.6,1.1,,6.4,1.1,8.11,0.15,0.15,1,R23,mu=1.40,7101,3.570633,-30.414634,10936.345,6103.265,932.0,0.03,2.0,6.699,0.22085,0.00265,7.391131,0.415636,31.743599,59.129051,-0.00508,-3.0E-4,0.0,0.0382,0.12006,0.1349,0.13188,0.13803,0.08476,0.12406,0.14366,0.14192,0.17691,0.223,0.17089,0.20467,0.00356,0.00329,-99.0,0.00234,0.00392,0.00556,0.00531,0.00504,0.0057,0.0036,0.00377,0.00282,0.00197,0.00208,0.00373,0.00237,0.33,1,7101,3.570633,-30.414634,5.765,5.765,5.765,5.765,5.765,1,0.0,0.03381617076468204,j001416.95m302452.70,3,12469,3.570643,-30.414638,abell2744-glass-v3_g235h-f170lp_1324_110000.spec.fits,abell2744-glass-v3,110000,0,,3,5.7642,5.7634,interactive fit -1 10 1.3 11,KNa23  z=5.763,1,1.43,1.7,3.06,,,,,,,,,FITS   zfit   spl,,,0.01441338051717531
GLASS_50002,3.5770012,-30.4155218,5.133,,-19.44,0.65,0.44,,8.87,0.29,0.08,,0.47,0.18,0.31,47,25,>,8.0,,>,12.6,,,4.4,1.2,,,,1,,mu=1.70,6815,3.576989,-30.415532,10301.18,5999.162,843.0,0.03,2.0,8.744,0.14624,0.00326,8.462114,0.39301,-40.448046,67.696915,0.00696,0.00367,0.0,0.04333,0.0729,0.08262,0.06567,0.06053,0.0552,0.07553,0.08014,0.07547,0.15982,0.11655,0.15062,0.13744,0.00551,0.00485,-99.0,0.00338,0.00516,0.00721,0.00742,0.0065,0.00953,0.00489,0.005,0.00421,0.00308,0.00303,0.00528,0.00421,0.33,301,6815,3.576989,-30.415532,5.134,5.134,5.134,5.134,5.134,301,0.0,0.052753366382387694,j001418.48m302455.88,3,12586,3.577001,-30.415522,abell2744-glass-v3_g235h-f170lp_1324_50002.spec.fits,abell2744-glass-v3,50002,0,,3,5.1346,5.1334,,KNa23  z=5.133,1,0.31,1.7,2.98,,,,,,,,,FITS   zfit   spl,,,0.03600535419807594
GLASS_80070,3.5823211,-30.3876547,4.797,,-17.77,1.01,0.19,,7.42,0.7,0.04,,0.17,0.04,0.05,100,14,,4.6,0.5,,7.0,0.7,,4.6,0.6,7.8,0.19,0.18,1,R23,mu=7.91,14619,3.58234,-30.387658,9765.81,9228.957,500.0,0.03,0.0,6.782,0.12537,0.00256,7.320139,0.568599,-38.527021,58.561111,0.00321,0.03317,0.0,0.12208,0.12465,0.12069,0.124,0.12409,0.0,0.12746,0.13393,0.14199,0.22332,0.1769,0.12679,0.11686,0.0049,0.00376,-99.0,0.00283,0.00298,0.00427,0.00407,0.00386,-99.0,0.00634,0.00536,0.00512,0.00298,0.00306,0.0062,0.00399,0.5,11,14619,3.58234,-30.387658,4.798,4.798,4.798,4.798,4.798,11,0.0,0.05988309117289805,j001419.76m302315.56,3,12601,3.582321,-30.387655,abell2744-glass-v3_g140h-f100lp_1324_80070.spec.fits,abell2744-glass-v3,80070,0,,3,4.7941,4.7941,Redshift matches abell2744-glass-v3_g235h-f170lp_1324_80070 z=4.7972,KNa23  z=4.797,1,1.12,0.98,1.77,,,,,,,,,FITS   zfit   spl,,,0.010804463781642454
GLASS_150029,3.5771664,-30.422576,4.584,,-19.2,0.1,1.08,,9.12,0.03,0.33,,1.04,0.02,0.02,138,10,,6.3,0.3,,8.9,0.4,,12.0,1.0,7.7,0.09,0.08,1,direct,"mu=1.48, Broad",5143,3.577142,-30.422543,10285.986,5186.75,459.0,0.94,3.0,4.132,0.14207,0.00195,4.121995,0.120393,58.766429,32.97596,0.0017,0.01016,0.0,0.06345,0.07197,0.05962,0.0,0.08909,0.0,0.0744,0.06802,0.08144,0.15408,0.13804,0.10922,0.12125,0.0022,0.00205,-99.0,0.00143,0.01504,0.01512,-99.0,0.01978,-99.0,0.00261,0.0022,0.0021,0.0015,0.00153,0.0022,0.00175,0.33,312,5143,3.577142,-30.422543,4.585,4.585,4.585,4.585,4.585,312,0.0,0.1408930446645691,j001418.52m302521.27,3,12485,3.577166,-30.422576,abell2744-glass-v3_g235h-f170lp_1324_150029.spec.fits,abell2744-glass-v3,150029,0,,3,4.5837,4.5837,,YIs23  z=4.584 ;  KNa23  z=4.584,2,0.94,1.7,2.97,,,,,42.72,,,,FITS   zfit   spl,,,0.11880648928986334
GLASS_40066,3.5997164,-30.4318948,4.02,,-20.43,1.86,0.26,,9.4,0.33,0.1,,1.57,0.02,0.02,84,18,,7.0,0.3,,,,,,,8.15,0.23,0.23,1,R3,mu=1.40,2911,3.599734,-30.431892,8028.978,4102.842,1597.0,0.11,2.0,5.567,0.63856,0.00368,7.347298,0.167478,-12.015199,58.778381,0.0,0.13052,0.0,0.31856,0.38268,0.34444,0.0,0.37413,0.32041,0.35715,0.40674,0.57048,0.88036,0.78326,0.62409,0.67069,-99.0,0.02023,-99.0,0.02334,0.02659,0.02571,-99.0,0.02984,0.00592,0.00694,0.00808,0.00449,0.00393,0.00371,0.01258,0.00379,0.33,203,2911,3.599734,-30.431892,4.021,4.021,4.021,4.021,4.021,203,0.0,0.05555316090446594,j001423.93m302554.82,4,22007,3.599716,-30.431895,abell2744-ddt-v3_prism-clear_2756_40066.spec.fits,abell2744-ddt-v3,40066,0,,3,4.0229,4.0229,Redshifts match v2 grade=3,KNa23  z=4.020,1,8.03,2.91,5.29,,48.0,,42.56,,,,,FITS   zfit   spl,,,0.010871136322138488
GLASS_160133,3.5802754,-30.4244041,4.015,,-18.94,0.08,0.09,,8.11,0.41,0.22,,1.16,0.01,0.01,227,89,,7.7,0.1,,10.7,0.2,,13.3,0.6,7.95,0.06,0.05,1,direct,"mu=1.54, Broad",4716,3.58029,-30.424406,9971.484,4970.844,534.0,0.93,2.0,4.302,0.17675,0.00218,5.436044,0.343201,15.949807,43.48835,5.6E-4,0.04568,0.0,0.09102,0.09708,0.08369,0.0,0.12844,0.0,0.08178,0.11342,0.14903,0.27918,0.22068,0.12519,0.13837,0.00265,0.00241,-99.0,0.0017,0.01804,0.01744,-99.0,0.02378,-99.0,0.00299,0.00274,0.00259,0.00196,0.00188,0.00258,0.00207,0.33,312,4716,3.58029,-30.424406,4.016,4.016,4.016,4.016,4.016,312,0.0,0.045835621654889455,j001419.27m302527.85,4,21992,3.580275,-30.424404,abell2744-ddt-v3_prism-clear_2756_160133.spec.fits,abell2744-ddt-v3,160133,0,,3,4.0224,4.0224,; Redshifts match v2 grade=3,YIs23  z=4.015 ;  KNa23  z=4.015,2,2.32,0.6,5.29,3.6,35.7,,42.32,42.79,,,,FITS   zfit   spl,,,0.00730628782546103
GLASS_80029,3.6031803,-30.4157094,3.951,,-18.92,1.0,0.5,,8.5,0.22,0.49,,0.47,0.04,0.05,62,25,,6.5,0.7,,,,,,,8.16,0.23,0.23,1,R3,mu=2.39,6624,3.603104,-30.415702,7691.572,5978.7,1309.0,0.03,3.0,10.439,0.30862,0.00514,12.569786,0.409515,-36.253452,100.558289,-0.00269,0.06669,0.0,0.13754,0.19296,0.18567,0.20303,0.20689,0.19364,0.2237,0.22203,0.33818,0.43656,0.3807,0.28478,0.29753,0.01375,0.00908,-99.0,0.00756,0.00617,0.00884,0.00807,0.00792,0.01269,0.00966,0.01112,0.0074,0.00495,0.00499,0.01189,0.0061,0.33,301,6624,3.603104,-30.415702,3.952,3.952,3.952,3.952,3.952,301,0.0,0.2383704493196799,j001424.76m302456.55,3,12599,3.60318,-30.415709,abell2744-glass-v3_g235h-f170lp_1324_80029.spec.fits,abell2744-glass-v3,80029,0,,3,3.951,3.951,,KNa23  z=3.951,1,1.06,1.7,2.67,,,,,42.44,,,,FITS   zfit   spl,,,0.02521720525792239
CEERS_00003,215.005189,52.99658,8.005,,-18.76,1.02,0.52,,8.61,0.48,0.43,,,,,285,202,,6.3,2.1,,,,,,,7.8,0.31,0.44,1,R3,,81835,215.005179,52.996575,6853.542,12863.086,510.0,0.03,3.0,15.867,0.15453,0.00925,11.679567,0.61643,-18.43347,93.436539,0.0,0.00339,0.0,0.03369,0.0,0.05974,0.0,0.09782,0.0,0.00613,0.05336,0.0642,0.08767,0.09823,0.10469,0.20617,-99.0,0.01479,-99.0,0.02195,-99.0,0.03907,-99.0,0.03434,-99.0,0.01146,0.01371,0.01135,0.00856,0.00865,0.01539,0.01271,0.33,314,81835,215.005179,52.996575,8.005,8.005,8.005,8.005,8.005,314,0.0,0.02816844706269652,j142001.25p525947.69,1,19298,215.005189,52.99658,ceers-v3_prism-clear_1345_3.spec.fits,ceers-v3,3,0,,3,8.0034,8.0034,Redshifts match v2 grade=3,MTa23  z=8.000 ;  SFu23  z=8.005 ;  KNa23  z=8.005,3,-0.5,0.6,5.29,0.2,,,,42.64,,,,FITS   zfit   spl,,,0.01800000000247208
CEERS_00314,214.868953,52.877206,5.27,,-19.04,0.4,0.08,,8.72,0.09,0.22,,,,,69,58,>,4.2,,,,,,,,7.95,0.32,0.32,1,R3,,71869,214.868949,52.877206,24148.188,11085.531,176.0,0.09,0.0,5.346,0.04507,0.00311,4.495216,0.481759,2.556617,35.961727,0.0,0.01066,0.0,0.01396,0.0,0.0341,0.0,0.05872,0.0,0.03609,0.03461,0.02987,0.054,0.05027,0.0566,0.05422,-99.0,0.00715,-99.0,0.00742,-99.0,0.01741,-99.0,0.01433,-99.0,0.00497,0.00602,0.00317,0.00401,0.00317,0.00633,0.00431,0.28,14,71869,214.868949,52.877206,5.27,5.27,5.27,5.27,5.27,14,0.0,0.00869076353494101,j141928.55p525237.95,1,21941,214.868953,52.877209,rubies-egs63-v3_g395m-f290lp_4233_56906.spec.fits,rubies-egs63-v3,56906,0,,1,0.791,0.791,,KNa23  z=5.270,1,4.98,2.88,5.2,,,,,,,,,FITS   zfit   spl,,,0.010799999996903249
CEERS_00323,214.872556,52.875949,5.668,,-18.7,0.04,0.1,,7.23,0.06,0.05,,0.78,0.03,0.04,417,43,,3.9,0.3,,5.1,0.4,>,1.4,,7.32,0.15,0.15,1,R23,No=2,74755,214.872554,52.875949,24094.182,10788.889,124.0,0.96,0.0,2.874,0.04699,0.0023,2.208939,0.142237,73.725532,17.671509,0.0,-0.00208,0.0,0.00913,0.0,0.01413,0.0,0.01201,0.0,0.01958,0.01577,0.01642,0.01775,0.03822,0.01076,0.02856,-99.0,0.00275,-99.0,0.00291,-99.0,0.00503,-99.0,0.0043,-99.0,0.00196,0.00232,0.00127,0.00161,0.0013,0.00243,0.00173,0.28,14,74755,214.872554,52.875949,5.668,5.668,5.668,5.668,5.668,14,0.0,0.004345507659006635,j141929.41p525233.43,1,21939,214.87256,52.875956,rubies-egs63-v3_g395m-f290lp_4233_54857.spec.fits,rubies-egs63-v3,54857,0,,3,5.6663,5.6663,Redshifts match v2 grade=3,KNa23  z=5.668,1,1.52,2.88,5.2,,8.4,,41.81,41.91,,,,FITS   zfit   spl,,,0.02665658898720817
CEERS_00355,214.806482,52.878827,6.105,,-19.79,0.19,0.47,,7.83,0.64,0.07,,0.95,0.05,0.05,144,24,,6.1,0.8,,9.1,1.2,,7.1,2.0,7.93,0.19,0.19,1,R23,No=2,58525,214.806479,52.878826,26926.713,14661.292,271.0,0.93,0.0,4.158,0.09777,0.00332,4.022286,0.30551,17.782971,32.178291,0.0,-0.00208,0.0,0.00829,0.0,0.07526,0.0,0.05863,0.0,0.06199,0.06062,0.06062,0.07794,0.12992,0.05581,0.08713,-99.0,0.00557,-99.0,0.00794,-99.0,0.02301,-99.0,0.01945,-99.0,0.00341,0.00417,0.00348,0.00273,0.00267,0.00477,0.00357,0.28,14,58525,214.806479,52.878826,6.105,6.105,6.105,6.105,6.105,14,0.0,0.007445944961496605,j141913.56p525243.78,4,16177,214.806482,52.878827,ceers-v3_g140m-f100lp_1345_355.spec.fits,ceers-v3,355,0,,3,6.0927,6.0927,Redshift matches ceers-v3_prism-clear_1345_355 z=6.1079,KNa23  z=6.105,1,0.4,0.98,1.88,,,,,,,,,FITS   zfit   spl,,,0.0036000000371344057
CEERS_00356,214.80529,52.877861,5.641,,-18.26,0.63,0.42,,8.41,0.17,0.26,,,,,28,30,>,2.7,,,,,,,,,,,1,,,58590,214.805287,52.877861,27070.857,14652.279,95.0,0.94,0.0,3.059,0.02183,0.00181,2.833845,0.363992,19.596619,22.670761,0.0,6.4E-4,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.01024,0.0159,0.01088,0.01687,0.02223,0.02176,0.02063,-99.0,0.00347,-99.0,0.00459,-99.0,-99.0,-99.0,-99.0,-99.0,0.00191,0.00234,0.00191,0.00146,0.0014,0.00318,0.00208,0.28,16,58590,214.805287,52.877861,5.641,5.641,5.641,5.641,5.641,16,0.0,0.006517974262323866,j141913.27p525240.30,4,16179,214.80529,52.877861,ceers-v3_g235m-f170lp_1345_356.spec.fits,ceers-v3,356,0,,2,5.6325,5.7554,,KNa23  z=5.641,1,0.14,1.87,3.15,,,,,,,,,FITS   zfit   spl,,,0.0
