source_id,grating,BIC_Ha1,AIC_Ha1,reduced_chi2_Ha1,Ha_EW_narrow_Ha1,Ha_EW_narrow_err_Ha1,OIII_FWHM,OIII_EW,OIII_Luminosity,Hb_FWHM,Hb_EW,Hb_Luminosity,Hb_Luminosity_err,Ha_FWHM,Ha_FWHM_err,Ha_intrinsic_FWHM,Ha_intrinsic_FWHM_err,Ha_Luminosity,Ha_Luminosity_err,OIII_FWHM_err,OIII_intrinsic_FWHM,OIII_intrinsic_FWHM_err,OIII_EW_err,OIII_Luminosity_err,Hb_FWHM_err,Hb_intrinsic_FWHM,Hb_intrinsic_FWHM_err,Hb_EW_err
12469,g395h-f290lp1,165.519,153.144,2.498,144.48,1.38,163.82,184.85,1.75e+42,184.02,32.18,2.659e+41,3.885e+40,144.48,5.52,124.6,6.4,8.199e+41,5.311e+40,5.01,133.77,6.13,2.33,9.433e+40,15.86,155.02,84.59,0.41
12485,g395h-f290lp1,242.215,232.26,13.011,149.23,3.74,,,,,,,,149.23,3.21,119.5,4.0,3.305e+42,1.277e+41,,,,,,,,,
12586,g395h-f290lp1,168.938,156.923,2.792,125.2,8.992434552924291e+51,157.83,204.06,8.845e+41,288.44,25.1,1.381e+41,6.203e+40,125.2,8.2,96.58,10.62,3.716e+41,4.124e+40,5.78,119.27,7.64,2.57,5.566e+40,77.84,268.2,122.38,0.32
12589,g395h-f290lp1,194.677,182.302,2.987,160.66,7.95,153.62,182.52,2.34e+42,158.81,28.54,3.453e+41,3.942e+40,160.66,5.63,143.07,6.32,1.069e+42,6.318e+40,5.07,121.26,6.43,2.3,1.349e+41,10.83,124.02,77.92,0.36
12599,g395h-f290lp1,173.491,162.341,3.744,152.29,3.33,,,,,,,,152.29,3.58,115.8,4.71,1.384e+42,5.619e+40,,,,,,,,,
12601,g395h-f290lp2,231.02,219.253,4.655,177.34,7.82,175.33,355.8,2.711e+42,,,,,177.34,3.73,155.02,4.27,1.637e+42,6.007e+40,5.73,138.0,7.28,4.47,1.55e+41,,,,
16032,g395m-f290lp1,47.61,40.209,2.169,273.51,3.24,299.86,149.6,8.835e+41,53.22,5.86,5.195e+40,3.295e+45,273.51,37.75,130.86,78.89,4.338e+41,1.027e+41,49.6,219.24,67.84,1.83,2.492e+41,2235911.9,,,0.08
16037,g395m-f290lp1,39.556,31.675,1.691,286.82,1.52,327.11,223.61,7.09e+41,929.19,56.68,1.738e+41,1.357e+41,286.82,31.26,191.95,46.71,3.28e+41,6.098e+40,21.17,165.81,41.77,2.72,7.907e+40,418.56,911.75,446.75,0.66
16040,g395m-f290lp1,68.49,60.922,3.207,176.56,0.38,233.44,415.6,3.912e+41,58.22,5.84,2.211e+40,1.61e+43,176.56,0.0,,,1.027e+41,0.0,17.58,131.72,31.15,5.16,5.039e+40,28090.04,,,0.08
16045,g395m-f290lp1,49.085,41.204,2.024,273.94,5.25,326.78,2946.03,2.31e+42,195.45,49.58,2.859e+41,1.095e+41,273.94,15.53,170.58,24.95,9.116e+41,8.934e+40,15.77,166.02,31.03,35.78,1.919e+41,46.02,75.41,71.8,0.63
16046,g395m-f290lp1,56.181,48.225,2.275,238.36,3.15,362.31,337.61,2.34e+42,78.03,6.71,2.814e+40,1.134e+45,238.36,19.14,115.53,39.48,7.259e+41,9.918e+40,12.07,224.4,19.48,4.08,1.357e+41,2166461.59,,,0.09
16048,g395m-f290lp1,50.962,43.006,2.065,152.28,0.52,320.96,90.72,6.21e+43,403.77,68.89,2.729e+43,1.459e+43,152.28,212.72,,,1.144e+43,2.277e+43,29.57,149.71,63.39,1.1,9.83e+42,126.42,290.81,221.34,0.86
16049,g395m-f290lp1,61.307,53.065,2.336,305.97,5.86,325.61,425.53,2.858e+42,194.94,24.92,2.617e+41,1.303e+41,305.97,23.02,235.65,29.89,1.204e+42,1.542e+41,13.46,202.84,21.6,5.16,2.073e+41,63.19,,,0.32
16051,g395m-f290lp2,102.251,94.295,5.339,270.18,8.39,357.59,1267.59,1.433e+43,337.65,174.08,1.773e+42,1.849e+41,270.18,7.61,171.87,11.97,5.381e+42,2.746e+41,4.64,216.79,7.66,15.26,3.455e+41,20.5,188.89,156.99,2.18
16056,g395m-f290lp1,56.162,48.514,2.444,290.38,5.59,,,,,,,,290.38,12.09,180.66,19.44,7.789e+41,5.773e+40,,,,,,,,,
16065,g395m-f290lp1,97.739,89.934,5.237,344.14,5.53,363.72,184.36,5.83e+42,252.51,69.57,8.015e+41,1.004e+41,344.14,11.84,262.41,15.52,2.73e+42,1.674e+41,49.88,,,3.66,2.022e+42,18.36,167.72,125.97,0.88
16177,g395m-f290lp2,31.769,23.133,1.351,194.36,82.51,222.0,598.64,3.858e+42,198.59,117.5,5.061e+41,1.136e+41,194.36,9.41,67.71,27.01,1.8e+42,1.469e+41,4.91,,,7.45,1.501e+41,25.43,,,1.5
16179,g395m-f290lp1,39.306,30.929,1.57,59.51,0.16,1240.75,1.8448133189813467e+77,5.011e+41,1000.0,4.27,1.615e+40,4.379e+41,59.51,0.0,,,1.565e+40,0.0,854.56,1213.97,873.41,1.7239406572964201e+75,6.405e+41,15961.63,967.48,15444.57,0.05
16188,g395m-f290lp0,37.152,28.91,1.54,290.47,4.76,383.84,1744.47,1.389e+42,55.16,11.86,4.129e+40,9.621e+47,290.47,26.95,215.53,36.32,9.32e+41,1.461e+41,32.36,286.94,43.29,20.96,2.01e+41,494022124.42,,,0.15
16189,g395m-f290lp0,38.702,29.765,1.455,167.98,10616331.52,210.02,8.550743711570259e+20,9.777e+41,1000.0,0.0,4.01e+20,0.0,167.98,24.1,,,6.912e+41,1.64e+41,19.93,,,1.0664562917828954e+19,1.571e+41,0.0,973.64,222.06,0.0
16197,g395m-f290lp1,54.475,46.097,2.022,301.98,1.99,276.59,160.78,3.029e+42,322.85,33.33,5.509e+41,1.443e+41,301.98,15.26,235.88,19.53,2.487e+42,2.174e+41,9.26,110.78,23.11,1.97,1.748e+41,50.25,195.66,158.59,0.42
16234,g395m-f290lp2,41.562,32.927,1.575,254.07,10.55,304.92,799.08,2.282e+42,300.24,166.32,3.884e+41,1.013e+41,254.07,14.95,175.94,21.59,1.254e+42,1.255e+41,11.19,200.15,17.05,9.77,1.482e+41,45.66,171.72,143.26,2.09
16236,g395m-f290lp1,57.436,48.8,2.018,138.46,2.36,289.55,409.09,5.9e+41,359.3,3.5331130416632156e+18,1.627e+41,7.489e+40,138.46,0.0,,,2.173e+41,0.0,18.83,175.77,31.03,5.01,6.665e+40,98.75,261.33,193.19,4.4124403303283064e+16
16246,g395m-f290lp0,55.625,47.452,2.149,277.68,2.33,260.72,583.23,4.409e+41,55.89,8.88,1.201e+40,9.147e+47,277.68,44.34,187.48,65.67,2.319e+41,6.277e+40,30.89,,,7.2,9.283e+40,2768180693.42,,,0.11
16248,g395m-f290lp1,61.17,52.793,2.26,456.25,2.42,167.12,155.36,5.585e+41,7.36,0.81,2.942e+39,,456.25,36.84,414.83,40.52,1.519e+42,2.088e+41,119.63,,,1.95,5.709e+41,,,,0.01
16251,g395m-f290lp1,75.14,67.259,3.309,288.79,10.61,304.15,1049.15,6.049e+42,194.35,92.19,7.272e+41,1.635e+41,288.79,8.88,194.93,13.15,2.764e+42,1.515e+41,5.78,114.0,15.41,12.81,2.085e+41,25.96,75.39,70.21,1.17
16259,g395m-f290lp1,57.316,48.618,1.991,206.93,10.66,294.43,1.0343051841089564e+16,3.51e+42,287.72,105.74,4.579e+41,1.322e+41,206.93,22.46,105.52,44.05,1.104e+42,2.038e+41,8.7,186.71,13.72,126789265796469.1,1.82e+41,49.01,172.71,141.23,1.33
21726,g395m-f290lp0,16.576,8.199,1.075,263.55,5.23,223.48,498.21,9.214e+41,157.63,28.86,1.094e+41,0.0,263.55,17.31,182.69,24.97,9.642e+41,1.065e+41,10.71,,,6.19,8.092e+40,0.0,,,0.37
21868,g395m-f290lp1,68.987,60.958,2.825,283.48,1.32,,,,,,,,283.48,12.55,193.89,18.35,2.487e+42,1.886e+41,,,,,,,,,
21902,g395m-f290lp1,53.386,45.901,2.403,277.46,4.83,298.63,249.52,1.335e+42,245.56,24.88,3.31e+41,1.566e+41,277.46,23.48,147.77,44.09,6.792e+41,9.911e+40,26.68,219.92,36.23,3.05,2.066e+41,70.1,126.03,113.99,0.32
21936,g395m-f290lp1,35.624,27.247,1.477,226.17,1.232457140042358e+25,302.61,1006.79,5.594e+42,324.71,1622.98,9.655e+41,2.011e+41,226.17,8.34,122.65,15.39,2.482e+42,1.639e+41,5.8,161.61,10.87,12.3,1.89e+41,40.09,202.77,160.34,20.34
21939,g395m-f290lp0,33.963,25.585,1.436,293.9,0.5,316.2,23.92,4.301e+41,195.09,7.26,1.054e+41,0.0,293.9,42.55,224.28,55.76,5.655e+41,1.407e+41,47.67,185.96,81.05,0.29,1.069e+41,0.0,,,0.09
21940,g395m-f290lp1,53.011,44.91,2.082,277.12,1.95,371.53,2198.81,2.053e+42,266.08,32.3,3.114e+41,1.121e+41,277.12,35.75,186.61,53.09,8.584e+41,1.876e+41,24.65,261.14,35.07,26.39,2.351e+41,55.08,,,0.41
21961,g395m-f290lp1,30.816,23.168,1.472,327.38,7.16,,,,,,,,327.38,30.0,234.93,41.8,7.116e+41,1.109e+41,,,,,,,,,
21965,g395m-f290lp2,84.322,75.749,3.13,344.38,6.55,343.74,848.08,1.802e+43,352.46,136.65,2.655e+42,1.894e+41,344.38,8.4,290.76,9.95,8.939e+42,3.886e+41,4.54,254.46,6.13,10.25,4.344e+41,14.73,246.6,176.49,1.71
21992,g395h-f290lp3,456.614,445.431,38.427,220.88,7.94,,,,,,,,220.88,5.98,197.36,6.7,3.004e+42,1.47e+41,,,,,,,,,
22007,g395h-f290lp3,274.788,263.572,8.4,258.26,4.86,,,,,,,,258.26,4.21,238.44,4.56,3.216e+42,9.632e+40,,,,,,,,,
22064,g395m-f290lp1,89.737,81.565,3.909,374.23,2.62,351.69,386.24,2.017e+42,412.42,176.35,4.664e+41,7.302e+40,374.23,19.24,312.74,23.02,1.709e+42,1.517e+41,13.1,228.58,20.16,4.66,1.333e+41,37.81,302.29,207.5,2.19
